"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"TPT11",0.000485717504683432,0.799802917388971,0.781,0.617,1,"10","TPT1"
"RPN22",0.000493486370284365,0.930737078439709,0.406,0.166,1,"10","RPN2"
"GPX13",0.000493806346103745,0.851409534046421,0.5,0.228,1,"10","GPX1"
"IFI44L4",0.00049915867403299,0.76496658024295,0.688,0.385,1,"10","IFI44L"
"SAMHD12",0.000505742167572653,0.784563134917139,0.719,0.379,1,"10","SAMHD1"
"ATXN7L3",0.000510702070183841,1.5660576904628,0.25,0.081,1,"10","ATXN7L3"
"TTC33",0.000512998941426117,1.40213962165026,0.375,0.152,1,"10","TTC3"
"NRAS",0.00052124689442348,0.447601701789341,0.25,0.078,1,"10","NRAS"
"CPT1A",0.000526911725205895,1.5733766768738,0.312,0.117,1,"10","CPT1A"
"HSP90AB14",0.000535398052951023,0.935008723705735,0.625,0.299,1,"10","HSP90AB1"
"TTC37",0.00053788278322968,0.778873290254388,0.25,0.078,1,"10","TTC37"
"GDI21",0.000542069561573602,1.10201886973783,0.406,0.17,1,"10","GDI2"
"ENTPD4",0.000542760206850753,1.0812948551126,0.25,0.079,1,"10","ENTPD4"
"TAPBP1",0.000544381269099239,0.90497530944727,0.562,0.284,1,"10","TAPBP"
"NIN2",0.000544514369942361,0.923839628238133,0.5,0.237,1,"10","NIN"
"KPNB1",0.000568347524250142,0.609187546378011,0.406,0.158,1,"10","KPNB1"
"CPNE3",0.000574280261191193,0.863834823921395,0.25,0.08,1,"10","CPNE3"
"RRBP12",0.000584521468179286,1.27814510097243,0.375,0.159,1,"10","RRBP1"
"IFI443",0.00058692450793211,0.906191481955718,0.562,0.254,1,"10","IFI44"
"MARCH7",0.000590497696230608,0.363515995048154,0.25,0.077,1,"10","MARCH7"
"MYO5A",0.000592362308270838,0.835025322968628,0.312,0.113,1,"10","MYO5A"
"EIF4A23",0.000602924871621451,0.659544937701333,0.5,0.22,1,"10","EIF4A2"
"ANKRD123",0.000609549149447153,0.753612033751103,0.469,0.208,1,"10","ANKRD12"
"CNP",0.000628893138790112,1.23131976289539,0.25,0.081,1,"10","CNP"
"TRAM11",0.000635291512600744,0.851484967564905,0.344,0.133,1,"10","TRAM1"
"CNOT2",0.000639034170860169,0.920373888667995,0.25,0.08,1,"10","CNOT2"
"PDIA61",0.000647609667413825,1.00753191522272,0.344,0.132,1,"10","PDIA6"
"INPP4A",0.00067080267453428,1.32220416562627,0.312,0.116,1,"10","INPP4A"
"CTSB2",0.000671715971036728,0.915452709867256,0.562,0.286,1,"10","CTSB"
"NBPF103",0.000686062888131577,1.32263326288031,0.406,0.178,1,"10","NBPF10"
"SATB11",0.000691205185810932,1.20296862399903,0.281,0.098,1,"10","SATB1"
"TRIP12",0.000700073236846575,0.848640457886686,0.469,0.202,1,"10","TRIP12"
"SNX31",0.000703407622790122,1.46684804554727,0.312,0.116,1,"10","SNX3"
"MARK3",0.000725465687441489,0.549787145933214,0.312,0.111,1,"10","MARK3"
"RPS27A2",0.00074110971897641,1.10932850363097,0.656,0.358,1,"10","RPS27A"
"ARHGAP271",0.000747272701678971,0.367402787166243,0.25,0.079,1,"10","ARHGAP27"
"CORO1C2",0.000766866663252749,1.22927938372002,0.312,0.12,1,"10","CORO1C"
"LAIR11",0.000774788085891135,0.77635371513311,0.25,0.082,1,"10","LAIR1"
"GNB2L12",0.000777857514971708,0.744990397290566,0.75,0.462,1,"10","GNB2L1"
"USF21",0.000823360407613557,1.34124164056355,0.281,0.101,1,"10","USF2"
"TMA7",0.000828453214120847,1.13065967740872,0.25,0.083,1,"10","TMA7"
"PPM1K1",0.000915546411029987,0.701813296635307,0.312,0.114,1,"10","PPM1K"
"HNRNPM2",0.000915583619142278,0.542976263928892,0.5,0.23,1,"10","HNRNPM"
"PPP1R15A2",0.000916582820121176,0.813868804062365,0.438,0.195,1,"10","PPP1R15A"
"SLC25A61",0.000936205183768336,0.724687956375661,0.438,0.194,1,"10","SLC25A6"
